PL_id,home_team,away_team
9263,Fulham,West Bromwich Albion
9264,Hull City,Cardiff City
9265,Manchester United,Crystal Palace
9266,Stoke City,Manchester City
9267,Sunderland,Arsenal
9268,Tottenham Hotspur,Norwich City
9269,Southampton,West Ham United
9270,Swansea City,Liverpool
9271,Chelsea,Fulham
9272,Liverpool,Southampton
9273,Newcastle United,Hull City
9274,Norwich City,Aston Villa
9275,West Bromwich Albion,Sunderland
9276,West Ham United,Everton
9277,Arsenal,Stoke City
9278,Cardiff City,Tottenham Hotspur
9279,Crystal Palace,Swansea City
9280,Manchester City,Manchester United
9281,Aston Villa,Manchester City
9282,Fulham,Cardiff City
9283,Hull City,West Ham United
9284,Manchester United,West Bromwich Albion
9285,Southampton,Crystal Palace
9286,Swansea City,Arsenal
9287,Tottenham Hotspur,Chelsea
9288,Stoke City,Norwich City
